PKA Conditions,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,1,0,0,3,2,2,1,0,2,2,13
Tag-8/6-Biotin antigen [0.25 ug] format 1,2,0,0,2,2,2,1,1,2,3,15
Tag-9/6-Biotin antigen [0.25 ug] format 1,1,0,0,0,0,0,0,1,2,1,5
Tag-12/6-Biotin antigen [0.25 ug] format 1,2,0,0,1,1,1,1,0,2,2,10
Tag-17/6-Biotin antigen [0.25 ug] format 1,2,1,0,1,1,1,1,1,3,2,13
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,3,1,2,2,1,1,1,3,1,3,18
Tag-6/8-Biotin antigen [0.25 ug] format 1,4,1,0,3,2,2,2,2,2,3,21
Tag-8/8-Biotin antigen [0.25 ug] format 1,3,0,0,3,2,2,2,2,2,3,19
Tag-9/8-Biotin antigen [0.25 ug] format 1,4,0,0,0,0,0,0,2,1,2,9
Tag-12/8-Biotin antigen [0.25 ug] format 1,3,0,0,2,1,1,1,2,2,3,15
Tag-17/8-Biotin antigen [0.25 ug] format 1,4,1,1,1,1,1,1,2,2,3,17
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,4,1,1,1,1,1,1,2,1,2,15
Tag-6/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,1,3,8
Tag-8/9-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,0,0,2,1,3,9
Tag-9/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,2,2,8
Tag-12/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,3,2,9
Tag-17/9-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,3,3,2,10
Generic-Tag/9-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,2,2,15
Tag-6/12-Biotin antigen [0.25 ug] format 1,3,0,0,2,2,2,1,1,3,2,16
Tag-8/12-Biotin antigen [0.25 ug] format 1,3,0,0,2,2,2,1,2,3,2,17
Tag-9/12-Biotin antigen [0.25 ug] format 1,2,0,0,0,0,0,0,2,2,2,8
Tag-12/12-Biotin antigen [0.25 ug] format 1,2,0,0,2,2,1,1,2,2,1,13
Tag-17/12-Biotin antigen [0.25 ug] format 1,3,0,0,1,1,1,1,2,2,2,13
Generic-Tag/12-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,2,2,15
Tag-6/17-Biotin antigen [0.25 ug] format 1,3,1,0,2,1,1,1,1,3,3,16
Tag-8/17-Biotin antigen [0.25 ug] format 1,3,0,0,2,1,2,1,2,2,3,16
Tag-9/17-Biotin antigen [0.25 ug] format 1,3,0,0,0,0,0,0,2,3,2,10
Tag-12/17-Biotin antigen [0.25 ug] format 1,4,0,0,1,1,1,1,2,3,3,16
Tag-17/17-Biotin antigen [0.25 ug] format 1,2,1,1,1,1,1,1,3,3,3,17
Generic-Tag/17-Biotin antigen [0.25 ug] format 1,3,3,2,1,1,1,1,3,2,3,20
Tag-6/6-Biotin antigen [0.25 ug] format 2,4,0,0,3,2,2,2,0,2,2,17
Tag-8/6-Biotin antigen [0.25 ug] format 2,3,0,0,2,2,2,1,1,2,3,16
Tag-9/6-Biotin antigen [0.25 ug] format 2,4,0,0,0,0,0,0,1,2,2,9
Tag-12/6-Biotin antigen [0.25 ug] format 2,4,0,0,1,1,1,1,0,2,2,12
Tag-17/6-Biotin antigen [0.25 ug] format 2,4,1,0,1,1,1,1,1,2,3,15
Generic-Tag/6-Biotin antigen [0.25 ug] format 2,4,2,2,2,1,1,1,3,1,2,19
Tag-6/8-Biotin antigen [0.25 ug] format 2,4,1,0,3,2,2,2,2,3,3,22
Tag-8/8-Biotin antigen [0.25 ug] format 2,4,0,0,3,2,2,2,2,3,3,21
Tag-9/8-Biotin antigen [0.25 ug] format 2,4,0,0,0,0,0,0,2,2,2,10
Tag-12/8-Biotin antigen [0.25 ug] format 2,3,1,0,2,1,1,1,2,2,3,16
Tag-17/8-Biotin antigen [0.25 ug] format 2,3,1,1,2,1,1,1,2,3,3,18
Generic-Tag/8-Biotin antigen [0.25 ug] format 2,2,1,1,1,1,1,1,3,2,3,16
Tag-6/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,1,0,2,1,2,9
Tag-8/9-Biotin antigen [0.25 ug] format 2,3,0,0,1,0,1,0,2,2,3,12
Tag-9/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,0,0,3,2,2,10
Tag-12/9-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,0,0,2,3,3,11
Tag-17/9-Biotin antigen [0.25 ug] format 2,4,0,0,0,0,0,0,3,3,3,13
Generic-Tag/9-Biotin antigen [0.25 ug] format 2,3,1,1,1,1,1,1,3,2,2,16
Tag-6/12-Biotin antigen [0.25 ug] format 2,3,0,0,2,2,2,1,1,3,2,16
Tag-8/12-Biotin antigen [0.25 ug] format 2,4,0,0,2,2,2,2,2,3,2,19
Tag-9/12-Biotin antigen [0.25 ug] format 2,3,0,0,0,0,0,0,2,2,2,9
Tag-12/12-Biotin antigen [0.25 ug] format 2,4,0,0,2,2,1,1,2,2,1,15
Tag-17/12-Biotin antigen [0.25 ug] format 2,3,0,0,1,1,1,1,2,2,2,13
Generic-Tag/12-Biotin antigen [0.25 ug] format 2,4,1,1,1,1,1,1,3,2,2,17
Tag-6/17-Biotin antigen [0.25 ug] format 2,3,1,0,2,2,2,1,1,3,2,17
Tag-8/17-Biotin antigen [0.25 ug] format 2,3,0,0,2,2,2,1,2,3,2,17
Tag-9/17-Biotin antigen [0.25 ug] format 2,2,0,0,0,0,0,0,2,2,2,8
Tag-12/17-Biotin antigen [0.25 ug] format 2,3,1,0,2,1,1,1,2,3,2,16
Tag-17/17-Biotin antigen [0.25 ug] format 2,3,1,1,1,1,1,1,3,3,3,18
Generic-Tag/17-Biotin antigen [0.25 ug] format 2,3,3,2,1,1,1,1,3,3,3,21
Tag-6/6-Biotin antigen [0.25 ug] format 3,4,1,0,3,2,2,2,0,2,2,18
Tag-8/6-Biotin antigen [0.25 ug] format 3,3,0,0,2,2,2,1,1,3,2,16
Tag-9/6-Biotin antigen [0.25 ug] format 3,4,0,0,0,0,0,0,1,3,3,11
Tag-12/6-Biotin antigen [0.25 ug] format 3,4,0,0,2,1,1,1,0,3,2,14
Tag-17/6-Biotin antigen [0.25 ug] format 3,4,1,0,2,1,1,1,1,3,2,16
Generic-Tag/6-Biotin antigen [0.25 ug] format 3,3,2,2,2,2,1,1,3,3,3,22
Tag-6/8-Biotin antigen [0.25 ug] format 3,2,1,0,3,2,2,2,2,3,2,19
Tag-8/8-Biotin antigen [0.25 ug] format 3,3,0,0,2,2,2,1,2,3,2,17
Tag-9/8-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,0,0,2,2,3,10
Tag-12/8-Biotin antigen [0.25 ug] format 3,4,0,0,2,2,1,1,2,3,2,17
Tag-17/8-Biotin antigen [0.25 ug] format 3,2,1,1,2,1,1,1,2,2,2,15
Generic-Tag/8-Biotin antigen [0.25 ug] format 3,2,1,1,1,1,1,1,3,3,3,17
Tag-6/9-Biotin antigen [0.25 ug] format 3,2,0,0,1,0,0,0,2,2,3,10
Tag-8/9-Biotin antigen [0.25 ug] format 3,3,0,0,1,0,0,0,2,2,2,10
Tag-9/9-Biotin antigen [0.25 ug] format 3,2,0,0,0,0,0,0,2,2,3,9
Tag-12/9-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,0,0,2,2,2,9
Tag-17/9-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,0,0,3,2,3,11
Generic-Tag/9-Biotin antigen [0.25 ug] format 3,4,1,1,1,1,0,1,3,1,1,14
Tag-6/12-Biotin antigen [0.25 ug] format 3,3,0,0,2,2,2,1,2,2,2,16
Tag-8/12-Biotin antigen [0.25 ug] format 3,2,0,0,2,2,1,1,2,2,1,13
Tag-9/12-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,0,0,2,1,1,7
Tag-12/12-Biotin antigen [0.25 ug] format 3,3,0,0,2,2,1,1,2,1,1,13
Tag-17/12-Biotin antigen [0.25 ug] format 3,4,0,0,1,1,1,1,2,2,1,13
Generic-Tag/12-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,1,1,3,1,1,14
Tag-6/17-Biotin antigen [0.25 ug] format 3,3,1,0,2,2,1,1,1,2,1,14
Tag-8/17-Biotin antigen [0.25 ug] format 3,3,0,0,2,2,1,1,2,2,1,14
Tag-9/17-Biotin antigen [0.25 ug] format 3,3,0,0,0,0,0,0,2,2,3,10
Tag-12/17-Biotin antigen [0.25 ug] format 3,3,1,1,1,1,1,1,2,2,1,14
Tag-17/17-Biotin antigen [0.25 ug] format 3,4,1,1,1,1,1,1,3,2,2,17
Generic-Tag/17-Biotin antigen [0.25 ug] format 3,3,3,2,1,1,1,1,3,2,2,19
Tag-6/6-Biotin antigen [0.25 ug] format 4,2,2,2,2,1,2,1,3,2,2,19
Tag-8/6-Biotin antigen [0.25 ug] format 4,2,1,1,1,1,1,0,3,2,3,15
Tag-9/6-Biotin antigen [0.25 ug] format 4,2,1,1,0,0,0,0,3,2,3,12
Tag-12/6-Biotin antigen [0.25 ug] format 4,2,1,1,1,0,1,0,3,2,3,14
Tag-17/6-Biotin antigen [0.25 ug] format 4,2,1,1,1,1,1,0,3,2,3,15
Generic-Tag/6-Biotin antigen [0.25 ug] format 4,1,6,5,9,5,6,4,3,3,3,45
Tag-6/8-Biotin antigen [0.25 ug] format 4,3,3,2,2,1,1,1,3,0,2,18
Tag-8/8-Biotin antigen [0.25 ug] format 4,3,1,1,1,0,1,0,3,0,2,12
Tag-9/8-Biotin antigen [0.25 ug] format 4,4,1,1,0,0,0,0,2,0,2,10
Tag-12/8-Biotin antigen [0.25 ug] format 4,3,2,2,1,0,1,0,3,1,2,15
Tag-17/8-Biotin antigen [0.25 ug] format 4,2,1,1,1,0,1,0,3,1,2,12
Generic-Tag/8-Biotin antigen [0.25 ug] format 4,1,5,3,7,4,4,4,3,3,2,36
Tag-6/9-Biotin antigen [0.25 ug] format 4,3,1,1,0,0,0,0,3,3,2,13
Tag-8/9-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,0,0,3,3,2,11
Tag-9/9-Biotin antigen [0.25 ug] format 4,4,0,0,0,0,0,0,3,3,3,13
Tag-12/9-Biotin antigen [0.25 ug] format 4,4,0,0,0,0,0,0,3,3,2,12
Tag-17/9-Biotin antigen [0.25 ug] format 4,3,0,0,0,0,0,0,3,2,3,11
Generic-Tag/9-Biotin antigen [0.25 ug] format 4,3,4,3,5,4,4,4,3,2,2,34
Tag-6/12-Biotin antigen [0.25 ug] format 4,4,2,2,4,3,3,2,3,3,3,29
Tag-8/12-Biotin antigen [0.25 ug] format 4,3,1,1,3,2,2,1,3,2,3,21
Tag-9/12-Biotin antigen [0.25 ug] format 4,4,0,0,1,0,0,0,3,2,3,13
Tag-12/12-Biotin antigen [0.25 ug] format 4,4,1,1,2,2,2,1,3,2,3,21
Tag-17/12-Biotin antigen [0.25 ug] format 4,3,1,1,2,2,2,1,3,2,3,20
Generic-Tag/12-Biotin antigen [0.25 ug] format 4,3,4,3,8,5,5,5,3,2,2,40
Tag-6/17-Biotin antigen [0.25 ug] format 4,0,4,3,1,2,0,1,3,3,0,17
Tag-8/17-Biotin antigen [0.25 ug] format 4,3,2,2,0,0,0,0,3,3,2,15
Tag-9/17-Biotin antigen [0.25 ug] format 4,3,1,1,0,0,0,0,3,2,3,13
Tag-12/17-Biotin antigen [0.25 ug] format 4,3,2,2,0,0,0,0,3,2,3,15
Tag-17/17-Biotin antigen [0.25 ug] format 4,3,2,2,0,0,0,0,3,2,3,15
Generic-Tag/17-Biotin antigen [0.25 ug] format 4,2,7,6,8,4,5,4,3,3,3,45
Tag-6/6-Biotin antigen [0.25 ug] format 5,4,2,2,2,1,2,1,2,2,3,21
Tag-8/6-Biotin antigen [0.25 ug] format 5,4,1,1,1,1,1,1,2,2,3,17
Tag-9/6-Biotin antigen [0.25 ug] format 5,4,1,1,0,0,0,0,2,2,3,13
Tag-12/6-Biotin antigen [0.25 ug] format 5,3,1,1,1,0,1,0,2,2,3,14
Tag-17/6-Biotin antigen [0.25 ug] format 5,4,1,1,1,0,1,0,2,2,3,15
Generic-Tag/6-Biotin antigen [0.25 ug] format 5,2,6,5,9,6,6,5,3,2,2,46
Tag-6/8-Biotin antigen [0.25 ug] format 5,3,3,2,2,1,2,1,3,2,2,21
Tag-8/8-Biotin antigen [0.25 ug] format 5,4,2,2,1,0,1,0,3,1,1,15
Tag-9/8-Biotin antigen [0.25 ug] format 5,4,1,1,0,0,0,0,3,1,3,13
Tag-12/8-Biotin antigen [0.25 ug] format 5,4,2,2,1,0,1,0,2,1,1,14
Tag-17/8-Biotin antigen [0.25 ug] format 5,4,1,1,1,0,1,0,3,1,1,13
Generic-Tag/8-Biotin antigen [0.25 ug] format 5,3,5,3,7,4,5,4,3,2,3,39
Tag-6/9-Biotin antigen [0.25 ug] format 5,4,1,1,0,0,0,0,3,1,2,12
Tag-8/9-Biotin antigen [0.25 ug] format 5,4,0,0,0,0,0,0,3,2,2,11
Tag-9/9-Biotin antigen [0.25 ug] format 5,4,0,0,0,0,0,0,3,2,3,12
Tag-12/9-Biotin antigen [0.25 ug] format 5,3,0,0,0,0,0,0,3,2,2,10
Tag-17/9-Biotin antigen [0.25 ug] format 5,4,0,0,0,0,0,0,3,2,3,12
Generic-Tag/9-Biotin antigen [0.25 ug] format 5,3,5,3,4,4,4,4,3,1,1,32
Tag-6/12-Biotin antigen [0.25 ug] format 5,2,2,2,4,3,2,2,3,1,2,23
Tag-8/12-Biotin antigen [0.25 ug] format 5,2,1,1,2,2,1,1,3,1,2,16
Tag-9/12-Biotin antigen [0.25 ug] format 5,2,0,0,1,1,0,0,3,1,2,10
Tag-12/12-Biotin antigen [0.25 ug] format 5,2,1,1,2,2,1,1,3,1,2,16
Tag-17/12-Biotin antigen [0.25 ug] format 5,2,1,1,2,2,1,1,3,1,2,16
Generic-Tag/12-Biotin antigen [0.25 ug] format 5,2,5,3,6,5,4,4,3,1,1,34
Tag-6/17-Biotin antigen [0.25 ug] format 5,4,3,2,0,0,0,1,3,2,2,17
Tag-8/17-Biotin antigen [0.25 ug] format 5,3,1,2,0,0,0,0,3,2,3,14
Tag-9/17-Biotin antigen [0.25 ug] format 5,4,1,1,0,0,0,0,3,3,3,15
Tag-12/17-Biotin antigen [0.25 ug] format 5,4,2,2,0,0,0,0,3,3,3,17
Tag-17/17-Biotin antigen [0.25 ug] format 5,4,1,2,0,0,0,0,3,3,3,16
Generic-Tag/17-Biotin antigen [0.25 ug] format 5,2,8,6,8,5,5,4,3,2,2,45
Tag-6/6-Biotin antigen [0.25 ug] format 6,4,2,2,2,2,1,1,3,1,3,21
Tag-8/6-Biotin antigen [0.25 ug] format 6,4,1,1,1,1,1,1,3,1,3,17
Tag-9/6-Biotin antigen [0.25 ug] format 6,4,1,1,0,0,0,0,3,1,3,13
Tag-12/6-Biotin antigen [0.25 ug] format 6,4,1,1,1,1,1,1,3,1,3,17
Tag-17/6-Biotin antigen [0.25 ug] format 6,4,1,1,1,0,1,1,3,2,3,17
Generic-Tag/6-Biotin antigen [0.25 ug] format 6,3,6,5,8,7,5,8,3,1,0,46
Tag-6/8-Biotin antigen [0.25 ug] format 6,2,3,2,3,2,2,1,3,1,2,21
Tag-8/8-Biotin antigen [0.25 ug] format 6,2,1,1,2,1,1,1,3,0,3,15
Tag-9/8-Biotin antigen [0.25 ug] format 6,3,1,1,0,0,0,0,2,0,3,10
Tag-12/8-Biotin antigen [0.25 ug] format 6,2,2,2,2,1,1,1,2,0,3,16
Tag-17/8-Biotin antigen [0.25 ug] format 6,2,1,1,1,1,1,1,3,1,3,15
Generic-Tag/8-Biotin antigen [0.25 ug] format 6,1,6,5,8,8,4,6,3,1,0,42
Tag-6/9-Biotin antigen [0.25 ug] format 6,3,1,1,0,0,0,0,3,0,1,9
Tag-8/9-Biotin antigen [0.25 ug] format 6,4,0,0,0,0,0,0,3,0,1,8
Tag-9/9-Biotin antigen [0.25 ug] format 6,4,0,0,0,0,0,0,3,0,2,9
Tag-12/9-Biotin antigen [0.25 ug] format 6,3,0,0,0,0,0,0,3,0,2,8
Tag-17/9-Biotin antigen [0.25 ug] format 6,3,0,0,0,0,0,0,3,0,2,8
Generic-Tag/9-Biotin antigen [0.25 ug] format 6,1,5,4,4,8,3,7,3,0,0,35
Tag-6/12-Biotin antigen [0.25 ug] format 6,4,2,2,3,3,2,3,3,0,0,22
Tag-8/12-Biotin antigen [0.25 ug] format 6,4,1,1,2,2,1,2,3,0,0,16
Tag-9/12-Biotin antigen [0.25 ug] format 6,4,1,1,0,1,0,1,3,0,1,12
Tag-12/12-Biotin antigen [0.25 ug] format 6,4,1,1,2,2,1,2,3,0,0,16
Tag-17/12-Biotin antigen [0.25 ug] format 6,4,1,1,1,2,1,1,3,0,0,14
Generic-Tag/12-Biotin antigen [0.25 ug] format 6,2,5,3,4,7,2,6,3,0,0,32
Tag-6/17-Biotin antigen [0.25 ug] format 6,3,2,2,1,1,0,1,3,0,1,14
Tag-8/17-Biotin antigen [0.25 ug] format 6,2,1,1,0,0,0,0,3,1,1,9
Tag-9/17-Biotin antigen [0.25 ug] format 6,4,1,0,0,0,0,0,3,1,2,11
Tag-12/17-Biotin antigen [0.25 ug] format 6,3,1,1,0,0,0,0,3,1,3,12
Tag-17/17-Biotin antigen [0.25 ug] format 6,2,1,1,0,0,0,0,3,2,2,11
Generic-Tag/17-Biotin antigen [0.25 ug] format 6,1,9,7,7,9,4,6,3,1,0,47
