Condition,Background,ULOQ Sen. + Ant.,ULOQ Sen. - Ant.,LLOQ Sen. + Ant.,LLOQ Sen. - Ant.,S/N + Ant.,S/N - Ant.,Ant. Int. [100x],Ant. Int. [10x],Ant. Int. [1x],Total
Tag-6/6-Biotin antigen [0.25 ug] format 1,0.25,0.0,0.0,0.3333,0.2222,0.3333,0.125,0.0,0.6667,0.6667,2.5972
Tag-8/6-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,0.6667,1.0,3.4027
Tag-9/6-Biotin antigen [0.25 ug] format 1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.3333,1.5833
Tag-12/6-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.0,0.6667,0.6667,2.3473
Tag-17/6-Biotin antigen [0.25 ug] format 1,0.5,0.1111,0.0,0.1111,0.1111,0.1667,0.125,0.3333,1.0,0.6667,3.125
Generic-Tag/6-Biotin antigen [0.25 ug] format 1,0.75,0.1111,0.2857,0.2222,0.1111,0.1667,0.125,1.0,0.3333,1.0,4.1051
Tag-6/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.0,0.3333,0.2222,0.3333,0.25,0.6667,0.6667,1.0,4.5833
Tag-8/8-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.3333,0.2222,0.3333,0.25,0.6667,0.6667,1.0,4.2222
Tag-9/8-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.6667,2.6667
Tag-12/8-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.2222,0.1111,0.1667,0.125,0.6667,0.6667,1.0,3.7084
Tag-17/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,1.0,4.1013
Generic-Tag/8-Biotin antigen [0.25 ug] format 1,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.3333,0.6667,3.4346
Tag-6/9-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,1.0,2.5
Tag-8/9-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,1.0,2.75
Tag-9/9-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.5001
Tag-12/9-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.6667,2.8334
Tag-17/9-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,3.1667
Generic-Tag/9-Biotin antigen [0.25 ug] format 1,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,3.6013
Tag-6/12-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,1.0,0.6667,3.6527
Tag-8/12-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.6667,1.0,0.6667,3.9861
Tag-9/12-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.5001
Tag-12/12-Biotin antigen [0.25 ug] format 1,0.5,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,0.6667,0.3333,2.9028
Tag-17/12-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,0.6667,3.264
Generic-Tag/12-Biotin antigen [0.25 ug] format 1,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,3.6013
Tag-6/17-Biotin antigen [0.25 ug] format 1,0.75,0.1111,0.0,0.2222,0.1111,0.1667,0.125,0.3333,1.0,1.0,3.8194
Tag-8/17-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.2222,0.1111,0.3333,0.125,0.6667,0.6667,1.0,3.875
Tag-9/17-Biotin antigen [0.25 ug] format 1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,0.6667,3.0834
Tag-12/17-Biotin antigen [0.25 ug] format 1,1.0,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.6667,1.0,1.0,4.1806
Tag-17/17-Biotin antigen [0.25 ug] format 1,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,1.0,1.0,4.2679
Generic-Tag/17-Biotin antigen [0.25 ug] format 1,0.75,0.3333,0.2857,0.1111,0.1111,0.1667,0.125,1.0,0.6667,1.0,4.5496
Tag-6/6-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.3333,0.2222,0.3333,0.25,0.0,0.6667,0.6667,3.4722
Tag-8/6-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,0.6667,1.0,3.6527
Tag-9/6-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.6667,0.6667,2.6667
Tag-12/6-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.0,0.6667,0.6667,2.8473
Tag-17/6-Biotin antigen [0.25 ug] format 2,1.0,0.1111,0.0,0.1111,0.1111,0.1667,0.125,0.3333,0.6667,1.0,3.625
Generic-Tag/6-Biotin antigen [0.25 ug] format 2,1.0,0.2222,0.2857,0.2222,0.1111,0.1667,0.125,1.0,0.3333,0.6667,4.1329
Tag-6/8-Biotin antigen [0.25 ug] format 2,1.0,0.1111,0.0,0.3333,0.2222,0.3333,0.25,0.6667,1.0,1.0,4.9166
Tag-8/8-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.3333,0.2222,0.3333,0.25,0.6667,1.0,1.0,4.8055
Tag-9/8-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,3.0001
Tag-12/8-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.0,0.2222,0.1111,0.1667,0.125,0.6667,0.6667,1.0,3.8195
Tag-17/8-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.1429,0.2222,0.1111,0.1667,0.125,0.6667,1.0,1.0,4.2957
Generic-Tag/8-Biotin antigen [0.25 ug] format 2,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,1.0,3.9346
Tag-6/9-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.0,0.0,0.1667,0.0,0.6667,0.3333,0.6667,2.5834
Tag-8/9-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.1111,0.0,0.1667,0.0,0.6667,0.6667,1.0,3.3612
Tag-9/9-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,3.0834
Tag-12/9-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,1.0,1.0,3.4167
Tag-17/9-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
Generic-Tag/9-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,3.8513
Tag-6/12-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,1.0,0.6667,3.6527
Tag-8/12-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.2222,0.2222,0.3333,0.25,0.6667,1.0,0.6667,4.3611
Tag-9/12-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.7501
Tag-12/12-Biotin antigen [0.25 ug] format 2,1.0,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,0.6667,0.3333,3.4028
Tag-17/12-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,0.6667,3.264
Generic-Tag/12-Biotin antigen [0.25 ug] format 2,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,4.1013
Tag-6/17-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.0,0.2222,0.2222,0.3333,0.125,0.3333,1.0,0.6667,3.7638
Tag-8/17-Biotin antigen [0.25 ug] format 2,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.6667,1.0,0.6667,3.9861
Tag-9/17-Biotin antigen [0.25 ug] format 2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.5001
Tag-12/17-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.0,0.2222,0.1111,0.1667,0.125,0.6667,1.0,0.6667,3.8195
Tag-17/17-Biotin antigen [0.25 ug] format 2,0.75,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,1.0,1.0,4.5179
Generic-Tag/17-Biotin antigen [0.25 ug] format 2,0.75,0.3333,0.2857,0.1111,0.1111,0.1667,0.125,1.0,1.0,1.0,4.8829
Tag-6/6-Biotin antigen [0.25 ug] format 3,1.0,0.1111,0.0,0.3333,0.2222,0.3333,0.25,0.0,0.6667,0.6667,3.5833
Tag-8/6-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.3333,1.0,0.6667,3.6527
Tag-9/6-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.0,1.0,3.3333
Tag-12/6-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.2222,0.1111,0.1667,0.125,0.0,1.0,0.6667,3.2917
Tag-17/6-Biotin antigen [0.25 ug] format 3,1.0,0.1111,0.0,0.2222,0.1111,0.1667,0.125,0.3333,1.0,0.6667,3.7361
Generic-Tag/6-Biotin antigen [0.25 ug] format 3,0.75,0.2222,0.2857,0.2222,0.2222,0.1667,0.125,1.0,1.0,1.0,4.994
Tag-6/8-Biotin antigen [0.25 ug] format 3,0.5,0.1111,0.0,0.3333,0.2222,0.3333,0.25,0.6667,1.0,0.6667,4.0833
Tag-8/8-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.6667,1.0,0.6667,3.9861
Tag-9/8-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.0,3.0834
Tag-12/8-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,1.0,0.6667,4.0695
Tag-17/8-Biotin antigen [0.25 ug] format 3,0.5,0.1111,0.1429,0.2222,0.1111,0.1667,0.125,0.6667,0.6667,0.6667,3.3791
Generic-Tag/8-Biotin antigen [0.25 ug] format 3,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,1.0,1.0,4.2679
Tag-6/9-Biotin antigen [0.25 ug] format 3,0.5,0.0,0.0,0.1111,0.0,0.0,0.0,0.6667,0.6667,1.0,2.9445
Tag-8/9-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.1111,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.8612
Tag-9/9-Biotin antigen [0.25 ug] format 3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.0,2.8334
Tag-12/9-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.6667,2.7501
Tag-17/9-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.4167
Generic-Tag/9-Biotin antigen [0.25 ug] format 3,1.0,0.1111,0.1429,0.1111,0.1111,0.0,0.125,1.0,0.3333,0.3333,3.2678
Tag-6/12-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.2222,0.2222,0.3333,0.125,0.6667,0.6667,0.6667,3.6528
Tag-8/12-Biotin antigen [0.25 ug] format 3,0.5,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,0.6667,0.3333,2.9028
Tag-9/12-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.3333,0.3333,2.0833
Tag-12/12-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,0.3333,0.3333,2.8194
Tag-17/12-Biotin antigen [0.25 ug] format 3,1.0,0.0,0.0,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,0.3333,3.1806
Generic-Tag/12-Biotin antigen [0.25 ug] format 3,0.75,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.3333,0.3333,3.1845
Tag-6/17-Biotin antigen [0.25 ug] format 3,0.75,0.1111,0.0,0.2222,0.2222,0.1667,0.125,0.3333,0.6667,0.3333,2.9305
Tag-8/17-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.2222,0.2222,0.1667,0.125,0.6667,0.6667,0.3333,3.1528
Tag-9/17-Biotin antigen [0.25 ug] format 3,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,1.0,3.0834
Tag-12/17-Biotin antigen [0.25 ug] format 3,0.75,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,0.3333,3.1846
Tag-17/17-Biotin antigen [0.25 ug] format 3,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,4.1013
Generic-Tag/17-Biotin antigen [0.25 ug] format 3,0.75,0.3333,0.2857,0.1111,0.1111,0.1667,0.125,1.0,0.6667,0.6667,4.2163
Tag-6/6-Biotin antigen [0.25 ug] format 4,0.5,0.2222,0.2857,0.2222,0.1111,0.3333,0.125,1.0,0.6667,0.6667,4.1329
Tag-8/6-Biotin antigen [0.25 ug] format 4,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.0,1.0,0.6667,1.0,3.8096
Tag-9/6-Biotin antigen [0.25 ug] format 4,0.5,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.4207
Tag-12/6-Biotin antigen [0.25 ug] format 4,0.5,0.1111,0.1429,0.1111,0.0,0.1667,0.0,1.0,0.6667,1.0,3.6985
Tag-17/6-Biotin antigen [0.25 ug] format 4,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.0,1.0,0.6667,1.0,3.8096
Generic-Tag/6-Biotin antigen [0.25 ug] format 4,0.25,0.6667,0.7143,1.0,0.5556,1.0,0.5,1.0,1.0,1.0,7.6866
Tag-6/8-Biotin antigen [0.25 ug] format 4,0.75,0.3333,0.2857,0.2222,0.1111,0.1667,0.125,1.0,0.0,0.6667,3.6607
Tag-8/8-Biotin antigen [0.25 ug] format 4,0.75,0.1111,0.1429,0.1111,0.0,0.1667,0.0,1.0,0.0,0.6667,2.9485
Tag-9/8-Biotin antigen [0.25 ug] format 4,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,0.6667,0.0,0.6667,2.5874
Tag-12/8-Biotin antigen [0.25 ug] format 4,0.75,0.2222,0.2857,0.1111,0.0,0.1667,0.0,1.0,0.3333,0.6667,3.5357
Tag-17/8-Biotin antigen [0.25 ug] format 4,0.5,0.1111,0.1429,0.1111,0.0,0.1667,0.0,1.0,0.3333,0.6667,3.0318
Generic-Tag/8-Biotin antigen [0.25 ug] format 4,0.25,0.5556,0.4286,0.7778,0.4444,0.6667,0.5,1.0,1.0,0.6667,6.2898
Tag-6/9-Biotin antigen [0.25 ug] format 4,0.75,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,3.6707
Tag-8/9-Biotin antigen [0.25 ug] format 4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,3.4167
Tag-9/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
Tag-12/9-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,3.6667
Tag-17/9-Biotin antigen [0.25 ug] format 4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.4167
Generic-Tag/9-Biotin antigen [0.25 ug] format 4,0.75,0.4444,0.4286,0.5556,0.4444,0.6667,0.5,1.0,0.6667,0.6667,6.1231
Tag-6/12-Biotin antigen [0.25 ug] format 4,1.0,0.2222,0.2857,0.4444,0.3333,0.5,0.25,1.0,1.0,1.0,6.0356
Tag-8/12-Biotin antigen [0.25 ug] format 4,0.75,0.1111,0.1429,0.3333,0.2222,0.3333,0.125,1.0,0.6667,1.0,4.6845
Tag-9/12-Biotin antigen [0.25 ug] format 4,1.0,0.0,0.0,0.1111,0.0,0.0,0.0,1.0,0.6667,1.0,3.7778
Tag-12/12-Biotin antigen [0.25 ug] format 4,1.0,0.1111,0.1429,0.2222,0.2222,0.3333,0.125,1.0,0.6667,1.0,4.8234
Tag-17/12-Biotin antigen [0.25 ug] format 4,0.75,0.1111,0.1429,0.2222,0.2222,0.3333,0.125,1.0,0.6667,1.0,4.5734
Generic-Tag/12-Biotin antigen [0.25 ug] format 4,0.75,0.4444,0.4286,0.8889,0.5556,0.8333,0.625,1.0,0.6667,0.6667,6.8592
Tag-6/17-Biotin antigen [0.25 ug] format 4,0.0,0.4444,0.4286,0.1111,0.2222,0.0,0.125,1.0,1.0,0.0,3.3313
Tag-8/17-Biotin antigen [0.25 ug] format 4,0.75,0.2222,0.2857,0.0,0.0,0.0,0.0,1.0,1.0,0.6667,3.9246
Tag-9/17-Biotin antigen [0.25 ug] format 4,0.75,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.6707
Tag-12/17-Biotin antigen [0.25 ug] format 4,0.75,0.2222,0.2857,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.9246
Tag-17/17-Biotin antigen [0.25 ug] format 4,0.75,0.2222,0.2857,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.9246
Generic-Tag/17-Biotin antigen [0.25 ug] format 4,0.5,0.7778,0.8571,0.8889,0.4444,0.8333,0.5,1.0,1.0,1.0,7.8015
Tag-6/6-Biotin antigen [0.25 ug] format 5,1.0,0.2222,0.2857,0.2222,0.1111,0.3333,0.125,0.6667,0.6667,1.0,4.6329
Tag-8/6-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,0.6667,0.6667,1.0,4.1013
Tag-9/6-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,0.6667,0.6667,1.0,3.5874
Tag-12/6-Biotin antigen [0.25 ug] format 5,0.75,0.1111,0.1429,0.1111,0.0,0.1667,0.0,0.6667,0.6667,1.0,3.6152
Tag-17/6-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.1111,0.0,0.1667,0.0,0.6667,0.6667,1.0,3.8652
Generic-Tag/6-Biotin antigen [0.25 ug] format 5,0.5,0.6667,0.7143,1.0,0.6667,1.0,0.625,1.0,0.6667,0.6667,7.5061
Tag-6/8-Biotin antigen [0.25 ug] format 5,0.75,0.3333,0.2857,0.2222,0.1111,0.3333,0.125,1.0,0.6667,0.6667,4.494
Tag-8/8-Biotin antigen [0.25 ug] format 5,1.0,0.2222,0.2857,0.1111,0.0,0.1667,0.0,1.0,0.3333,0.3333,3.4523
Tag-9/8-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.3333,1.0,3.5873
Tag-12/8-Biotin antigen [0.25 ug] format 5,1.0,0.2222,0.2857,0.1111,0.0,0.1667,0.0,0.6667,0.3333,0.3333,3.119
Tag-17/8-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.1111,0.0,0.1667,0.0,1.0,0.3333,0.3333,3.1984
Generic-Tag/8-Biotin antigen [0.25 ug] format 5,0.75,0.5556,0.4286,0.7778,0.4444,0.8333,0.5,1.0,0.6667,1.0,6.9564
Tag-6/9-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.3333,0.6667,3.254
Tag-8/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,3.3334
Tag-9/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.6667
Tag-12/9-Biotin antigen [0.25 ug] format 5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,3.0834
Tag-17/9-Biotin antigen [0.25 ug] format 5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.6667
Generic-Tag/9-Biotin antigen [0.25 ug] format 5,0.75,0.5556,0.4286,0.4444,0.4444,0.6667,0.5,1.0,0.3333,0.3333,5.4563
Tag-6/12-Biotin antigen [0.25 ug] format 5,0.5,0.2222,0.2857,0.4444,0.3333,0.3333,0.25,1.0,0.3333,0.6667,4.3689
Tag-8/12-Biotin antigen [0.25 ug] format 5,0.5,0.1111,0.1429,0.2222,0.2222,0.1667,0.125,1.0,0.3333,0.6667,3.4901
Tag-9/12-Biotin antigen [0.25 ug] format 5,0.5,0.0,0.0,0.1111,0.1111,0.0,0.0,1.0,0.3333,0.6667,2.7222
Tag-12/12-Biotin antigen [0.25 ug] format 5,0.5,0.1111,0.1429,0.2222,0.2222,0.1667,0.125,1.0,0.3333,0.6667,3.4901
Tag-17/12-Biotin antigen [0.25 ug] format 5,0.5,0.1111,0.1429,0.2222,0.2222,0.1667,0.125,1.0,0.3333,0.6667,3.4901
Generic-Tag/12-Biotin antigen [0.25 ug] format 5,0.5,0.5556,0.4286,0.6667,0.5556,0.6667,0.5,1.0,0.3333,0.3333,5.5398
Tag-6/17-Biotin antigen [0.25 ug] format 5,1.0,0.3333,0.2857,0.0,0.0,0.0,0.125,1.0,0.6667,0.6667,4.0774
Tag-8/17-Biotin antigen [0.25 ug] format 5,0.75,0.1111,0.2857,0.0,0.0,0.0,0.0,1.0,0.6667,1.0,3.8135
Tag-9/17-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.254
Tag-12/17-Biotin antigen [0.25 ug] format 5,1.0,0.2222,0.2857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.5079
Tag-17/17-Biotin antigen [0.25 ug] format 5,1.0,0.1111,0.2857,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.3968
Generic-Tag/17-Biotin antigen [0.25 ug] format 5,0.5,0.8889,0.8571,0.8889,0.5556,0.8333,0.5,1.0,0.6667,0.6667,7.3572
Tag-6/6-Biotin antigen [0.25 ug] format 6,1.0,0.2222,0.2857,0.2222,0.2222,0.1667,0.125,1.0,0.3333,1.0,4.5773
Tag-8/6-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.3333,1.0,4.1012
Tag-9/6-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.3333,1.0,3.5873
Tag-12/6-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.3333,1.0,4.1012
Tag-17/6-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.1111,0.0,0.1667,0.125,1.0,0.6667,1.0,4.3235
Generic-Tag/6-Biotin antigen [0.25 ug] format 6,0.75,0.6667,0.7143,0.8889,0.7778,0.8333,1.0,1.0,0.3333,0.0,6.9643
Tag-6/8-Biotin antigen [0.25 ug] format 6,0.5,0.3333,0.2857,0.3333,0.2222,0.3333,0.125,1.0,0.3333,0.6667,4.1328
Tag-8/8-Biotin antigen [0.25 ug] format 6,0.5,0.1111,0.1429,0.2222,0.1111,0.1667,0.125,1.0,0.0,1.0,3.379
Tag-9/8-Biotin antigen [0.25 ug] format 6,0.75,0.1111,0.1429,0.0,0.0,0.0,0.0,0.6667,0.0,1.0,2.6707
Tag-12/8-Biotin antigen [0.25 ug] format 6,0.5,0.2222,0.2857,0.2222,0.1111,0.1667,0.125,0.6667,0.0,1.0,3.2996
Tag-17/8-Biotin antigen [0.25 ug] format 6,0.5,0.1111,0.1429,0.1111,0.1111,0.1667,0.125,1.0,0.3333,1.0,3.6012
Generic-Tag/8-Biotin antigen [0.25 ug] format 6,0.25,0.6667,0.7143,0.8889,0.8889,0.6667,0.75,1.0,0.3333,0.0,6.1588
Tag-6/9-Biotin antigen [0.25 ug] format 6,0.75,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.0,0.3333,2.3373
Tag-8/9-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333,2.3333
Tag-9/9-Biotin antigen [0.25 ug] format 6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6667,2.6667
Tag-12/9-Biotin antigen [0.25 ug] format 6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6667,2.4167
Tag-17/9-Biotin antigen [0.25 ug] format 6,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6667,2.4167
Generic-Tag/9-Biotin antigen [0.25 ug] format 6,0.25,0.5556,0.5714,0.4444,0.8889,0.5,0.875,1.0,0.0,0.0,5.0853
Tag-6/12-Biotin antigen [0.25 ug] format 6,1.0,0.2222,0.2857,0.3333,0.3333,0.3333,0.375,1.0,0.0,0.0,3.8828
Tag-8/12-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.2222,0.2222,0.1667,0.25,1.0,0.0,0.0,3.1151
Tag-9/12-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.0,0.1111,0.0,0.125,1.0,0.0,0.3333,2.8234
Tag-12/12-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.2222,0.2222,0.1667,0.25,1.0,0.0,0.0,3.1151
Tag-17/12-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.1429,0.1111,0.2222,0.1667,0.125,1.0,0.0,0.0,2.879
Generic-Tag/12-Biotin antigen [0.25 ug] format 6,0.5,0.5556,0.4286,0.4444,0.7778,0.3333,0.75,1.0,0.0,0.0,4.7897
Tag-6/17-Biotin antigen [0.25 ug] format 6,0.75,0.2222,0.2857,0.1111,0.1111,0.0,0.125,1.0,0.0,0.3333,2.9384
Tag-8/17-Biotin antigen [0.25 ug] format 6,0.5,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,2.4206
Tag-9/17-Biotin antigen [0.25 ug] format 6,1.0,0.1111,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.6667,3.1111
Tag-12/17-Biotin antigen [0.25 ug] format 6,0.75,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.3333,1.0,3.3373
Tag-17/17-Biotin antigen [0.25 ug] format 6,0.5,0.1111,0.1429,0.0,0.0,0.0,0.0,1.0,0.6667,0.6667,3.0874
Generic-Tag/17-Biotin antigen [0.25 ug] format 6,0.25,1.0,1.0,0.7778,1.0,0.6667,0.75,1.0,0.3333,0.0,6.7778
